max_depth,fold,accuracy,auc_macro
None,1,1.0,1.0
None,2,1.0,1.0
None,3,0.8947368421052632,0.9845238095238096
None,4,0.9473684210526315,0.9964285714285714
None,5,1.0,1.0
6,1,1.0,1.0
6,2,1.0,1.0
6,3,0.8947368421052632,0.980952380952381
6,4,0.9473684210526315,0.9964285714285714
6,5,1.0,1.0
4,1,1.0,1.0
4,2,1.0,1.0
4,3,0.8421052631578947,0.9732142857142858
4,4,0.9473684210526315,0.9964285714285714
4,5,1.0,0.9964285714285714
