Analysis_Context,Cell_Death_Class,MP_Type,Spearman_rho,p_value,N_Dose_Levels,Dose_Variable,p_value_BH_corrected,significant_FDR05,significant_nominal05
Simulator dose-encoding self-consistency check,Early Apoptosis,Polystyrene (PS),0.943,1.5746e-02,6,Concentration_ug_per_mL,1.9964e-02,True,True
Simulator dose-encoding self-consistency check,Early Apoptosis,Polyethylene (PE),0.943,1.6996e-02,6,Concentration_ug_per_mL,1.9964e-02,True,True
Simulator dose-encoding self-consistency check,Early Apoptosis,PET,1.000,3.7491e-03,6,Concentration_ug_per_mL,1.1247e-02,True,True
Simulator dose-encoding self-consistency check,Late Apoptosis,Polystyrene (PS),0.943,1.7746e-02,6,Concentration_ug_per_mL,1.9964e-02,True,True
Simulator dose-encoding self-consistency check,Late Apoptosis,Polyethylene (PE),1.000,3.7491e-03,6,Concentration_ug_per_mL,1.1247e-02,True,True
Simulator dose-encoding self-consistency check,Late Apoptosis,PET,0.829,5.7986e-02,6,Concentration_ug_per_mL,5.7986e-02,False,False
Simulator dose-encoding self-consistency check,Necrosis,Polystyrene (PS),0.943,1.5496e-02,6,Concentration_ug_per_mL,1.9964e-02,True,True
Simulator dose-encoding self-consistency check,Necrosis,Polyethylene (PE),1.000,2.9993e-03,6,Concentration_ug_per_mL,1.1247e-02,True,True
Simulator dose-encoding self-consistency check,Necrosis,PET,0.943,1.6246e-02,6,Concentration_ug_per_mL,1.9964e-02,True,True
