model,accuracy_mean,accuracy_std,auc_macro_mean,auc_macro_std
LR,0.8963157894736842,0.050742410701180844,0.982,0.017250488835953787
RF,0.968421052631579,0.04707511531578505,0.993095238095238,0.013531687846078881
