image_id,class_id,class_name,nuclear_fragmentation_index,cell_shrinkage_ratio,membrane_blebbing_score,chromatin_condensation_proxy,cell_swelling_index,membrane_permeability_proxy,mean_intensity,total_intensity,intensity_variance,area_covered_ratio,cell_count,density_cells_per_10k_px,cell_area_mean,cell_area_std,cell_area_median,small_cell_fraction,medium_cell_fraction,large_cell_fraction,plate_id
img_1_79,1,early_apoptosis,0.3512367491166078,0.3512367491166078,0.0,827.4048624635416,2.473684210526316,46.16718510043842,33.87474060058594,8880060.0,827.4121894163545,0.3078041076660156,1415.0,53.97796630859375,57.02402877807617,76.62419891357422,37.0,0.6318021201413427,0.3385159010600707,0.029681978798586573,113
img_0_167,0,viable,0.12193732193732194,0.3094017094017094,0.0,1357.5981233988302,1.6923076923076923,64.28365938277372,46.18705749511719,12107660.0,1357.8617074915674,0.21656036376953125,1755.0,66.94793701171875,32.34757995605469,85.68403625488281,21.0,0.882051282051282,0.11396011396011396,0.003988603988603989,27
img_1_247,1,early_apoptosis,0.1118800461361015,0.23990772779700115,0.0,1466.6957980731552,1.2857142857142858,51.36586000555313,43.85124969482422,11495342.0,1466.8282304023742,0.20871353149414062,1734.0,66.1468505859375,31.553056716918945,83.56026458740234,20.0,0.9117647058823529,0.08189158016147635,0.006343713956170703,141
img_3_126,3,necrosis,0.34331476323119775,0.3426183844011142,0.0,1283.5609863314776,2.263157894736842,29.588421620820597,35.77218246459961,9377463.0,1283.5609417303785,0.3045082092285156,1436.0,54.779052734375,55.58843994140625,112.56078338623047,33.0,0.6566852367688022,0.3224233983286908,0.020891364902506964,321
img_2_97,2,late_apoptosis,0.36363636363636365,0.3629316420014094,0.0,751.9206351351831,2.6315789473684212,47.67831658646601,32.965370178222656,8641674.0,752.4985566348187,0.3079032897949219,1419.0,54.13055419921875,56.88160705566406,63.60672378540039,37.0,0.6208597603946441,0.350246652572234,0.028893587033121917,216
img_3_6,3,necrosis,0.10816901408450705,0.2608450704225352,0.0,1179.8342563986866,1.3846153846153846,38.91008297134085,42.34895324707031,11101524.0,1180.00761090382,0.19921112060546875,1775.0,67.71087646484375,29.42084503173828,80.33599853515625,20.0,0.9177464788732395,0.07887323943661972,0.0033802816901408453,301
img_0_100,0,viable,0.09646494907130018,0.2792091072498502,0.0,1454.4320662327189,1.3076923076923077,64.2980674810411,43.725101470947266,11462273.0,1454.5543555728946,0.19670486450195312,1669.0,63.66729736328125,30.8957462310791,75.78022003173828,19.0,0.908328340323547,0.08448172558418214,0.007189934092270821,16
img_1_176,1,early_apoptosis,0.11033681765389082,0.2537746806039489,0.0,1403.1410078623144,1.4615384615384615,55.53286543830513,44.37797927856445,11633421.0,1403.1453282286966,0.2117919921875,1722.0,65.6890869140625,32.241580963134766,77.81362915039062,20.0,0.8972125435540069,0.09407665505226481,0.008710801393728223,129
img_0_178,0,viable,0.11572700296735905,0.24629080118694363,0.0,1813.0969735202832,1.4285714285714286,81.12902743236668,46.88228225708008,12289909.0,1813.2323087622497,0.21882247924804688,1685.0,64.27764892578125,34.0433235168457,104.88410949707031,20.0,0.8913946587537092,0.10207715133531158,0.006528189910979229,29
img_1_194,1,early_apoptosis,0.3565340909090909,0.37073863636363635,0.0,1169.689621397108,2.9583333333333335,48.183435082999864,35.4388542175293,9290083.0,1169.8039088983642,0.3162689208984375,1408.0,53.7109375,58.883522033691406,79.90762329101562,35.0,0.6193181818181818,0.3458806818181818,0.03480113636363636,132
img_1_166,1,early_apoptosis,0.1254256526674234,0.2945516458569807,0.0,1147.517889627531,1.4285714285714286,64.83514553328577,42.7452392578125,11205408.0,1147.7410509437323,0.20911788940429688,1762.0,67.2149658203125,31.111804962158203,73.18275451660156,21.0,0.9006810442678774,0.09364358683314415,0.0056753688989784334,127
img_3_120,3,necrosis,0.369727047146402,0.35153019023986765,0.0,1495.4435551219071,2.8947368421052633,34.806243289881834,37.83635711669922,9918574.0,1495.4237214950263,0.30388641357421875,1209.0,46.11968994140625,65.89081573486328,130.9549102783203,38.0,0.6046319272125724,0.3556658395368073,0.03970223325062035,320
img_3_132,3,necrosis,0.36707938820101965,0.3619810633648944,0.0,1134.7320305191613,2.789473684210526,33.04814468493132,36.579586029052734,9589119.0,1134.7366851679835,0.3164405822753906,1373.0,52.37579345703125,60.417335510253906,100.96347045898438,37.0,0.6052439912600146,0.3663510560815732,0.028404952658412235,322
img_2_180,2,late_apoptosis,0.11764705882352941,0.24069627851140457,0.0,1438.01261802779,1.3571428571428572,45.79727724984208,43.64271545410156,11440676.0,1438.1498593499418,0.211822509765625,1666.0,63.5528564453125,33.33013153076172,81.16834259033203,20.0,0.9057623049219687,0.08403361344537816,0.01020408163265306,230
img_0_177,0,viable,0.11372774267662263,0.2527283170591614,0.0,1213.9244131216774,1.4615384615384615,74.4331705486264,43.576438903808594,11423302.0,1214.199082631094,0.20492172241210938,1741.0,66.41387939453125,30.855255126953125,79.73136901855469,20.0,0.8989086731763355,0.09649626651349799,0.004595060310166571,29
img_1_145,1,early_apoptosis,0.10866983372921615,0.26187648456057006,0.0,1131.9459337977462,1.3846153846153846,52.67658687219922,42.399349212646484,11114735.0,1132.1263821753525,0.197967529296875,1684.0,64.239501953125,30.817102432250977,75.92415618896484,20.0,0.9049881235154394,0.08847980997624703,0.006532066508313539,124
img_3_161,3,necrosis,0.10090191657271702,0.2502818489289741,0.0,1384.8931061664648,1.2641509433962264,37.945809649598615,42.99660110473633,11271301.0,1385.0543364394543,0.19348907470703125,1774.0,67.6727294921875,28.591882705688477,75.26144409179688,19.0,0.9222096956031567,0.07440811724915446,0.0033821871476888386,326
img_3_43,3,necrosis,0.28935627788400253,0.3275971956660293,0.0,1790.9083802538464,2.25,32.700214807644876,39.18758773803711,10272791.0,1790.9035124701766,0.2955818176269531,1569.0,59.85260009765625,49.38496017456055,127.4984130859375,28.0,0.7310388782664117,0.2555768005098789,0.01338432122370937,307
img_3_210,3,necrosis,0.37043330501274424,0.35089209855564996,0.0,1937.2199171568434,2.9,32.38991580743485,40.18144989013672,10533326.0,1937.0345884495764,0.30803680419921875,1177.0,44.89898681640625,68.60662841796875,143.82858276367188,39.0,0.5819881053525914,0.3933729821580289,0.02463891248937978,335
